Topic,Question,Option A,Option B,Option C,Option D
Quantitative Ability,What is 15 percent of 240?,32,36,38,40
Quantitative Ability,"The ratio of two numbers is 3:4, and their sum is 35. What is the smaller number?",15,18,21,25
Quantitative Ability,A train 200 meters long runs at 72 km/h. How much time does it take to cross a pole?,5 seconds,10 seconds,15 seconds,20 seconds
Quantitative Ability,"The average of five numbers is 20. If one number is excluded, the average becomes 18. What is the excluded number?",25,26,28,30
Quantitative Ability,A person invests 5000 rupees at 10 percent per year for 2 years. What is the simple interest earned?,1000,1500,2000,2500
Quantitative Ability,Solve for x: 3x + 7 = 25.,5,6,7,8
Quantitative Ability,A boat covers 30 km downstream in 2 hours and 18 km upstream in 3 hours. What is the speed of the boat in still water?,10 km/h,8 km/h,6 km/h,4 km/h
Quantitative Ability,What is the value of (2^3) × (3^2) ÷ 6?,6,8,12,18
Quantitative Ability,The perimeter of a square is 48 cm. What is the area of the square?,64 cm²,144 cm²,256 cm²,196 cm²
Quantitative Ability,"Two pipes can fill a tank in 12 hours and 15 hours respectively. If both are opened together, how long will it take to fill the tank?",6.67 hours,6 hours,7.5 hours,8 hours
Logical Reasoning,"What comes next in the series: 2, 4, 8, 16, ?",20,24,32,36
Logical Reasoning,"If JOHN is coded as 75, what is the code for HENRY?",70,72,74,76
Logical Reasoning,"Find the odd one out: 3, 9, 27, 81, 250.",9,27,81,250
Logical Reasoning,"If A > B, B > C, and C > D, which of the following is true?",A > C,C > A,D > A,B > A
Logical Reasoning,How many triangles are there in a pentagon divided into 5 triangles from its center?,5,6,8,10
Logical Reasoning,"In a certain code, BREAK is written as 51324. How is BEAR written?",5214,5124,5132,5143
Logical Reasoning,"Pointing to a photograph, a man says, ""She is the daughter of my only son."" How is the girl in the photograph related to the man?",Daughter,Granddaughter,Niece,Cousin
Logical Reasoning,"If 2, 6, 12, 20, ?, what comes next?",28,30,36,40
Logical Reasoning,"Which number will replace the question mark? 7, 14, 21, ?, 35",24,27,28,30
Logical Reasoning,"Find the missing number: 16, 25, ?, 49, 64.",30,36,42,48
Verbal Ability,Find the synonym for ABUNDANT:,Scarce,Plentiful,Rare,Small
Verbal Ability,Choose the correct antonym for ENORMOUS:,Tiny,Small,Giant,Huge
Verbal Ability,Select the correctly spelled word:,Recieve,Receive,Recive,Recieive
Verbal Ability,"Fill in the blank: ""She ___ the project on time.""",Completes,Completed,Completing,Completion
Verbal Ability,"Identify the error in the sentence: ""He don't like the way you speak.""",don't,like,you,speak
Verbal Ability,"Select the correct option: ""One who speaks many languages"" is called a:",Bilingual,Polyglot,Linguist,Translator
Verbal Ability,Choose the sentence with proper grammar:,She do not want to come.,She does not wants to come.,She doesn't want to come.,She don't want to come.
Verbal Ability,"What is the meaning of the idiom ""Burn the midnight oil""?",Work late into the night,Waste time,Enjoy a party,Light a fire
Verbal Ability,"Identify the passive voice: ""The boy is playing the guitar.""",The guitar is played by the boy.,The guitar is being played by the boy.,The guitar was played by the boy.,The guitar is being playing by the boy.
Verbal Ability,"Fill in the blank: ""The committee ___ divided on the issue.""",Is,Are,Were,Being
